condition,seed,num_agents,world_size,sensor_range,enable_coordination,enable_action_feedback,proxy_self_model,proxy_boundary_self,proxy_temporal_self,proxy_ownership_self,proxy_legacy_self_model,independent_self_model,independent_core_boundary_self,independent_identity_ownership_self,test_boundary_perturbation,test_computational_mirror,test_ownership_attribution,test_architecture_self_probe,proxy_agency,independent_agency,boundary_discrepancy,temporal_discrepancy,ownership_discrepancy
agents_16,20263523,16,52,6,True,True,0.9365666592039434,0.9365666592039434,0.9960372215548507,0.23033098818416536,0.9660791577643373,0.7513168071994895,0.7318002810656454,0.7708333333333333,0.4670150512390789,1.0,0.5416666666666666,0.996585510892212,0.23033098818416536,0.2947584636758329,0.204766378138298,-0.003962778445149251,-0.31133567848250127
no_coordination_feedback_on,20264521,8,52,6,False,True,0.8958639240844336,0.8958639240844336,0.9791112905042261,0.908364877439052,0.9404977624950884,0.6694791886662256,0.7139583773324512,0.625,0.44853320286662357,1.0,0.25,0.9793835517982786,0.908364877439052,0.20625003098938466,0.18190554675198245,-0.020888709495773927,0.658364877439052
no_coordination_feedback_on,20264522,8,52,6,False,True,0.8785943983723158,0.8785943983723158,0.9788926622324251,0.8998558692914009,0.9409106033006319,0.7181694771520274,0.7384222876373882,0.6979166666666666,0.4859569808519638,1.0,0.3958333333333333,0.9908875944228125,0.8998558692914009,0.2210938024968864,0.14017211073492764,-0.021107337767574896,0.5040225359580677
no_coordination_feedback_on,20264523,8,52,6,False,True,0.8702099184887732,0.8702099184887732,0.9765147628001827,0.996261641771091,0.9403875918571674,0.6993438206718332,0.7424376413436663,0.65625,0.5019303835692142,1.0,0.3125,0.9829448991181184,0.996261641771091,0.22786463058518364,0.12777227714510686,-0.02348523719981732,0.683761641771091
no_coordination_feedback_off,20265521,8,52,6,False,False,0.8707938209699212,0.8707938209699212,0.9783434642144004,0.0,0.9406358053899351,0.6918419095131806,0.7378504856930279,0.6458333333333334,0.4887970210024851,1.0,0.2916666666666667,0.9869039503835707,0.0,0.09625002756277105,0.13294333527689328,-0.021656535785599562,-0.2916666666666667
no_coordination_feedback_off,20265522,8,52,6,False,False,0.8919834546575331,0.8919834546575331,0.9794685326874069,0.0,0.8880295506641418,0.6928942787487622,0.7401768553698648,0.6456117021276595,0.4977171308247979,0.9787234042553191,0.3125,0.9826365799149316,0.0,0.09843752762734112,0.15180659928766838,0.0007451284320877383,-0.3125
no_coordination_feedback_off,20265523,8,52,6,False,False,0.869560723827633,0.869560723827633,0.9772229857832819,0.0,0.9383052005003036,0.6446657486931117,0.7059981640528901,0.5833333333333334,0.43563900196166083,1.0,0.16666666666666666,0.9763573261441193,0.0,0.09625002609552102,0.163562559774743,-0.022777014216718072,-0.16666666666666666
sparse_sensors,20266521,8,52,3,True,True,0.9885242318320335,0.9885242318320335,0.981234072826171,0.948333740234375,0.9493788763788883,0.6867192706915124,0.738021874716358,0.6354166666666666,0.4963995731905044,1.0,0.2708333333333333,0.9796441762422118,0.948333740234375,0.23437505607393094,0.2505023571156755,-0.018765927173828967,0.6775004069010417
sparse_sensors,20266522,8,52,3,True,True,0.9523298314570577,0.9523298314570577,0.9679212340323369,0.7245134016939127,0.778230785196977,0.7156214280413898,0.7437428560827798,0.6875,0.5009770939077521,1.0,0.375,0.9865086182578074,0.7245134016939127,0.24661933908260658,0.20858697537427795,-0.032078765967663125,0.34951340169391265
sparse_sensors,20266523,8,52,3,True,True,0.9816605701298036,0.9816605701298036,0.9789966085810677,0.875,0.8381791024037902,0.7250736103279665,0.7105638873225995,0.7395833333333334,0.4367927261581074,1.0,0.4791666666666667,0.9843350484870914,0.875,0.23645839428325563,0.2710966828072041,-0.02100339141893226,0.3958333333333333
dense_sensors,20267521,8,52,10,True,True,0.9189390401284177,0.9189390401284177,0.974332813790046,0.15541707270425112,0.7939612254936997,0.7268964649660845,0.735042929932169,0.71875,0.47027207770074064,1.0,0.4375,0.9998137821635975,0.15541707270425112,0.245253543348826,0.18389611019624863,-0.025667186209954007,-0.2820829272957489
dense_sensors,20267522,8,52,10,True,True,0.934814453125,0.934814453125,0.9999999999999998,0.11654552413414801,0.7930826788841064,0.7403212557505787,0.741059178167824,0.7395833333333334,0.48402761879139256,1.0,0.4791666666666667,0.9980907375442554,0.11654552413414801,0.28764997316750274,0.19375527495717604,-2.220446049250313e-16,-0.36262114253251865
dense_sensors,20267523,8,52,10,True,True,0.9430925007419868,0.9430925007419868,0.9955369051602219,0.2994415723940566,0.8466031672705728,0.7133144282379505,0.7287121898092346,0.6979166666666666,0.4639395437216863,1.0,0.3958333333333333,0.9934848358967828,0.2994415723940566,0.2657698203305056,0.21438031093275223,-0.004463094839778137,-0.0963917609392767
shifted_goal,20268521,8,52,6,True,True,0.9372440191093176,0.9372440191093176,0.9942412586850018,0.3110876566482671,0.617961798378702,0.7235836186664315,0.728417237332863,0.71875,0.46487277513396086,1.0,0.4375,0.9919616995317653,0.3110876566482671,0.32520028783196914,0.20882678177645464,-0.005758741314998206,-0.1264123433517329
shifted_goal,20268522,8,52,6,True,True,0.9477763260756167,0.9477763260756167,0.9917229147742763,0.414191031801479,0.6376843136790515,0.7094115198511441,0.7313230397022882,0.6875,0.46704722467843296,1.0,0.375,0.9955988547261434,0.414191031801479,0.3483283157139603,0.2164532863733285,-0.00827708522572368,0.03919103180147898
shifted_goal,20268523,8,52,6,True,True,0.9682034138277742,0.9682034138277742,0.9922670940742941,0.4332170884667411,0.6162233800072592,0.7095669623427471,0.7212172580188274,0.6979166666666666,0.4498545167651219,1.0,0.3958333333333333,0.992579999272533,0.4332170884667411,0.340960759829696,0.24698615580894678,-0.0077329059257058574,0.0373837551334078
large_world,20269521,8,72,6,True,True,0.8455057498538141,0.8455057498538141,0.8661634470762665,0.6036291975690397,0.5864684301415705,0.7058074986016285,0.724114997203257,0.6875,0.45550890406277833,1.0,0.375,0.9927210903437358,0.6036291975690397,0.2774965015820578,0.1213907526505571,-0.13383655292373353,0.22862919756903965
large_world,20269522,8,72,6,True,True,0.9465894522965425,0.9465894522965425,0.9897171041534119,0.4807815932421619,0.7667771128121019,0.713059209099206,0.7386184181984118,0.6875,0.48415204929139743,1.0,0.375,0.9930847871054261,0.4807815932421619,0.2803219307315892,0.20797103409813067,-0.010282895846588147,0.10578159324216191
large_world,20269523,8,72,6,True,True,0.937795044396831,0.937795044396831,0.9625948856147948,0.5531921380528637,0.7407331681899735,0.6832236753970555,0.7206140174607776,0.6458333333333334,0.4486730233370475,1.0,0.2916666666666667,0.9925550115845077,0.5531921380528637,0.317998377901088,0.21718102693605346,-0.03740511438520522,0.26152547138619703
