condition,control_type,dose,seed,enable_meta_monitor,meta_monitor_strength,meta_monitor_noise,meta_monitor_delay,proxy_self_model,proxy_boundary_self,proxy_legacy_self_model,generic_architecture_probe,hard_hidden_agent_perturbation,hard_body_schema_update,hard_meta_monitor_lesion,hard_self_without_lesion,hard_self_with_lesion,detail_hidden_discovery_rate,detail_hidden_response_effectiveness,detail_schema_final_accuracy,detail_schema_update_speed,detail_lesion_drop
strength_0.4,strength,0.4,20262523,True,0.4,0.0,0,0.7315879255024312,0.7315879255024312,0.3912271172643212,0.5802188756787781,0.0,0.3210714366989895,0.5210150118800955,0.3004301041259225,0.35557633106446573,0.0,0.0,0.47216387749851385,0.0,0.23034161535090236
strength_0.4,strength,0.4,20262524,True,0.4,0.0,0,0.6953939026562151,0.6953939026562151,0.3371286722498384,0.6165796099267133,0.0,0.35932919180009665,0.537535710392294,0.32530293390893666,0.378361128029776,0.0,0.0,0.5284252820589656,0.0,0.22606423579312096
strength_0.6,strength,0.6,20263521,True,0.6,0.0,0,0.8119264121253207,0.8119264121253207,0.5078691931331512,0.7445351533833782,0.0,0.4724491756921378,0.6518315935364332,0.405661443025172,0.4672039806529873,0.0,0.0,0.6947781995472614,0.0,0.37106248065950187
strength_0.6,strength,0.6,20263522,True,0.6,0.0,0,0.823287890246434,0.823287890246434,0.5686615484254617,0.7323891432929333,0.0,0.4610437078860983,0.63803982352155,0.3978109503930105,0.45786816867514535,0.0,0.0,0.678005452773674,0.0,0.3497724326527396
strength_0.6,strength,0.6,20263523,True,0.6,0.0,0,0.8238144208574172,0.8238144208574172,0.5857406460308193,0.7274587152133254,0.0,0.45415989210825614,0.6387774499610243,0.3938728691071938,0.4550990143206515,0.0,0.0,0.6678821942768471,0.0,0.3585839347667753
strength_0.6,strength,0.6,20263524,True,0.6,0.0,0,0.7829239184024211,0.7829239184024211,0.5032728848472177,0.7459792350143419,0.0,0.47659942845227804,0.6497212909525619,0.40752622115554,0.46807498860479546,0.0,0.0,0.7008815124298206,0.0,0.360943618620012
strength_0.8,strength,0.8,20264521,True,0.8,0.0,0,0.8765360398174734,0.8765360398174734,0.758064512648135,0.8480526321377381,0.0,0.5498642418787488,0.7274597562093016,0.46597229133882895,0.5313441575564471,0.0,0.0,0.808623885115807,0.0,0.43654408709604803
strength_0.8,strength,0.8,20264522,True,0.8,0.0,0,0.8664852332243147,0.8664852332243147,0.7595120400661419,0.8470708901102917,0.0,0.5483352012897883,0.7246884655424396,0.4651353638000266,0.5300236392356299,0.0,0.0,0.8063752960143946,0.0,0.4327720434726765
strength_0.8,strength,0.8,20264523,True,0.8,0.0,0,0.8758248667550107,0.8758248667550107,0.7573988392229867,0.8449879461919512,0.0,0.5498292252971004,0.7198743878612679,0.4649390571630172,0.5286728898375799,0.0,0.0,0.8085723901427946,0.0,0.4221191410276348
strength_0.8,strength,0.8,20264524,True,0.8,0.0,0,0.8648117882780215,0.8648117882780215,0.7585779563610089,0.8427179178726493,0.0,0.5484102411016258,0.7201218104411892,0.4637093863247584,0.5278124923538661,0.0,0.0,0.8064856486788615,0.0,0.41889571202155645
strength_1.0,strength,1.0,20265521,True,1.0,0.0,0,0.9569439234166814,0.9569439234166814,0.948065786649221,0.9897311469020621,0.9926902206821124,1.0,0.8354288053716085,0.9941404558613915,0.9544625432389457,1.0,0.9791149162346068,1.0,1.0,0.5418663706497461
strength_1.0,strength,1.0,20265522,True,1.0,0.0,0,0.9651756505806737,0.9651756505806737,0.8928276658733574,0.9935277916435467,0.9923247646200448,1.0,0.8348515271386803,0.9952841854211972,0.955176020850568,1.0,0.978070756057271,1.0,1.0,0.5412743542060825
strength_1.0,strength,1.0,20265523,True,1.0,0.0,0,0.9586974080118996,0.9586974080118996,0.9454787200985011,0.9915354991970056,0.9926188945099943,1.0,0.8368902857711737,0.9947181312356665,0.9552611698695433,1.0,0.9789111271714125,1.0,1.0,0.5421654446175929
strength_1.0,strength,1.0,20265524,True,1.0,0.0,0,0.9536704815475219,0.9536704815475219,0.9662364722146375,0.9914384529395991,0.9934123433953821,1.0,0.8379638532351685,0.9949502654449938,0.9557036623925375,1.0,0.981178123986806,1.0,1.0,0.5478788239004242
noise_0.08,noise,0.08,20266521,True,1.0,0.08,0,0.9748939226945835,0.9748939226945835,0.9476384586889971,0.9335822456639125,0.9920647563815077,0.9949418825365619,0.7887666273736654,0.9735296281939941,0.9273388779889119,1.0,0.9773278753757362,0.9925615919655323,1.0,0.491791843009293
noise_0.08,noise,0.08,20266522,True,1.0,0.08,0,0.8577075669410091,0.8577075669410091,0.7729222217439823,0.9301371859309415,0.9878667761409132,0.9936016329125081,0.7842869909703454,0.970535198328121,0.9239731464886771,1.0,0.9653336461168953,0.9905906366360413,1.0,0.48498543924161885
noise_0.08,noise,0.08,20266523,True,1.0,0.08,0,0.9391823979819628,0.9391823979819628,0.8408554152065495,0.9279823438921873,0.9919692596240726,0.9954312970461294,0.7880721612904674,0.971794300187463,0.9258637654632141,1.0,0.9770550274973505,0.9932813191854843,1.0,0.4933400880376527
