architecture,condition,seed,proxy_self_model,proxy_agency,independent_self_model,independent_agency,test_boundary_perturbation,test_computational_mirror,test_ownership_attribution,test_intentional_binding,test_error_attribution,test_controllability_preference,test_forced_action_probe,test_architecture_self_probe,proxy_boundary_self,independent_self_core_boundary,proxy_identity_marker_persistence,test_delayed_identity_recognition,proxy_action_attribution,test_forced_choice_ownership,proxy_distributed_body_schema_self,hard_hidden_agent_perturbation,hard_body_schema_update,hard_meta_monitor_lesion,hard_self_without_lesion,enable_workspace,enable_action_loop,condition_set,run_index,meta_monitor_strength,meta_monitor_noise,meta_monitor_delay
distributed,meta_noise_0.2,20273533,0.9461221246815307,0.32857947289981243,0.7042418774793417,0.32120087409891807,0.5014982020323793,1.0,0.4666666666666667,0.20495968217140356,0.0274214182538194,0.21492239592435636,0.8375000000460929,0.8488026412183213,0.9461221246815307,0.6634517549030424,0.6661538461538461,0.5,0.8750000000298743,0.9984656125371866,0.9461221246815307,0.9840404185847245,0.9902389874360161,0.721322403144609,0.9871397030103704,,,meta-noise,220,1.0,0.2,0.0
distributed,meta_noise_0.2,20273534,0.9345665302150139,0.2884665174679153,0.6694598686121573,0.3417231496683879,0.49936242628200767,1.0,0.325,0.209702966946437,0.024389758627198593,0.2906123730520108,0.8421875000479053,0.8534770481666217,0.9345665302150139,0.6759003866318045,0.6799999999999999,0.5,0.802083333395645,0.9985789756186902,0.9345665302150139,0.9936966062858605,0.9870887562890646,0.7108660952326794,0.9903926812874626,,,meta-noise,221,1.0,0.2,0.0
distributed,meta_noise_0.2,20273535,0.9154274271884584,0.2631754690246873,0.6792153466259373,0.28304164282589517,0.4739369922031786,1.0,0.38333333333333336,0.19314865090472683,0.02087348966689294,0.1572069306516185,0.7609375000803424,0.8595910609672374,0.9154274271884584,0.6725790764726423,0.6581073085065265,0.5,0.8276041667145719,0.9985608187647452,0.9154274271884584,0.984950823753213,0.9898461685937394,0.7268223454234963,0.9873984961734762,,,meta-noise,222,1.0,0.2,0.0
distributed,meta_noise_0.2,20273536,0.9206995327736924,0.28751533762743925,0.6824606682529303,0.31424377541539106,0.48681018189589814,1.0,0.4,0.18426076945460834,0.017049601217161103,0.19056056428887874,0.865104166700916,0.843032491115823,0.9206995327736924,0.6790433108005454,0.6550384911698647,0.5,0.777083333410582,0.9984623374528889,0.9206995327736924,0.9915164971873374,0.9964746066793767,0.706755706980692,0.993995551933357,,,meta-noise,223,1.0,0.2,0.0
distributed,meta_noise_0.4,20274521,0.9340210051526223,0.36159184161910285,0.6534486911981751,0.3022830240335145,0.4629736037173632,1.0,0.35833333333333334,0.22885213175718025,0.021607902428694564,0.11283872856875676,0.8458333333794263,0.7924878277420038,0.9340210051526223,0.6545912796601755,0.6505969198356047,0.5,0.7989583334082393,0.9985914295382249,0.9340210051526223,0.9828316091654903,0.9663966170468306,0.6751659323667589,0.9746141131061604,,,meta-noise,224,1.0,0.4,0.0
distributed,meta_noise_0.4,20274522,0.9500945987772768,0.32622956893022653,0.650468365290489,0.33478291800713295,0.46441771642556107,1.0,0.35833333333333334,0.2686206047362194,0.024791613777674963,0.1858236201383046,0.8598958333763328,0.7791224114030616,0.9500945987772768,0.6316575820436826,0.6799999999999999,0.5,0.8364583333856136,0.9985453683334758,0.9500945987772768,0.9909305066694791,0.9853025353147109,0.6619833973172892,0.988116520992095,,,meta-noise,225,1.0,0.4,0.0
distributed,meta_noise_0.4,20274523,0.9464807235110162,0.4110693752600202,0.6731642780233584,0.3386677719221014,0.5020057101837705,1.0,0.4,0.2275863711725686,0.03766777566196251,0.2862919407789686,0.803125000074906,0.7906514019096633,0.9464807235110162,0.6309246051253538,0.6581073085065265,0.5,0.8598958333763328,0.9986029829340408,0.9464807235110162,0.9912004413022617,0.9841642682307064,0.6542408908323607,0.987682354766484,,,meta-noise,226,1.0,0.4,0.0
distributed,meta_noise_0.4,20274524,0.941798063364694,0.32519059331359623,0.6554742696383481,0.34715516720962164,0.48019353625561667,1.0,0.35833333333333334,0.29993246258051676,0.02804777564324223,0.2304320972265511,0.8302083333881765,0.7833702089644424,0.941798063364694,0.6043911338990023,0.669976009280911,0.5,0.8333333333943634,0.9984097925344673,0.941798063364694,0.9592804175454839,0.97355196309757,0.654328084072932,0.9664161903215269,,,meta-noise,227,1.0,0.4,0.0
distributed,meta_noise_0.4,20274525,0.9311268461216435,0.3270400300330938,0.6896332678216736,0.30717664462171645,0.5039306287323142,1.0,0.475,0.17124383336557156,0.014928889486412144,0.21076302225236215,0.83177083338252,0.7796024425543798,0.9311268461216435,0.63040166489795,0.6799999999999999,0.5,0.8260416667215098,0.9985223878064163,0.9311268461216435,0.9774234606089387,0.9848205476832591,0.6386145976150537,0.9811220041460988,,,meta-noise,228,1.0,0.4,0.0
distributed,meta_noise_0.4,20274526,0.9461595534224593,0.32845799528733155,0.6896885077836,0.3151167034676974,0.49520922924801836,1.0,0.4666666666666667,0.23457450316296474,0.028650156848969502,0.13786715382151232,0.859375000037343,0.796878135219715,0.9461595534224593,0.6489731535011082,0.6747376998017925,0.5,0.8760416667027283,0.9985229898545642,0.9461595534224593,0.9751999625789636,0.9769647636846646,0.6765703448970803,0.9760823631318141,,,meta-noise,229,1.0,0.4,0.0
distributed,meta_noise_0.4,20274527,0.9438688717937516,0.3481837058180871,0.6735368414052696,0.32902202532905467,0.47108375888731535,1.0,0.43333333333333335,0.21877966229201057,0.028418755374911613,0.26159801691028683,0.8072916667390098,0.7897302734004296,0.9438688717937516,0.6292583398482787,0.6125030298893364,0.5,0.8630208333838013,0.9984541054447795,0.9438688717937516,0.9762716976840156,0.9710945266126108,0.661794649189478,0.9736831121483132,,,meta-noise,230,1.0,0.4,0.0
distributed,meta_noise_0.4,20274528,0.947296908746086,0.4618508290009665,0.6465110099556803,0.3543026997363905,0.4752141954150062,1.0,0.325,0.3635354968470783,0.0252939133556773,0.17994388869233824,0.8484375000504681,0.7858298444077152,0.947296908746086,0.642263416164437,0.6685195221519549,0.5,0.8031250000697803,0.9986827178572703,0.947296908746086,0.9819312958299149,0.9699610436590587,0.6523883345800223,0.9759461697444868,,,meta-noise,231,1.0,0.4,0.0
distributed,meta_noise_0.4,20274529,0.9468281179885223,0.46506296270074743,0.6652184490866823,0.3414742772907924,0.4903558171338368,1.0,0.38333333333333336,0.3085455253889381,0.026736360254952705,0.20196939012416443,0.8286458333951142,0.7871846458795592,0.9468281179885223,0.6559294280203556,0.6077209549383116,0.5,0.8479166667127597,0.998676981356541,0.9468281179885223,0.9572687549347965,0.986827913460501,0.6529704412454851,0.9720483341976487,,,meta-noise,232,1.0,0.4,0.0
distributed,meta_noise_0.4,20274530,0.9161612892584816,0.38642576141558627,0.6459063923149908,0.33768761968446576,0.48585476096332825,1.0,0.31666666666666665,0.25596697132619733,0.03054130119967321,0.205908872835129,0.8583333333768636,0.7811041416299683,0.9161612892584816,0.6570513275789072,0.6536948404531195,0.5,0.7656250000859988,0.9987229059482577,0.9161612892584816,0.9810396909554226,0.9785722472301168,0.6528474911249098,0.9798059690927697,,,meta-noise,233,1.0,0.4,0.0
distributed,meta_noise_0.4,20274531,0.9331386655977034,0.39553770869295957,0.6675956499117919,0.3532436349509051,0.4785473856737083,1.0,0.4083333333333333,0.28689246452673284,0.028788546107470434,0.19625186248162596,0.9010416666877912,0.783501880640126,0.9331386655977034,0.6140020709188014,0.6673824144657686,0.5,0.8619791667096661,0.998557015340147,0.9331386655977034,0.967477636335359,0.9623008783830949,0.658211116887718,0.9648892573592269,,,meta-noise,234,1.0,0.4,0.0
distributed,meta_noise_0.4,20274532,0.9479583287562034,0.2915425185576407,0.6769169163456277,0.3286012410949235,0.47687369227274085,1.0,0.44166666666666665,0.21455730178239948,0.03461670790717989,0.2193976213081254,0.8458333333819892,0.789127306443103,0.9479583287562034,0.6397696881561825,0.6799999999999999,0.5,0.7765625000690295,0.9984932609699032,0.9479583287562034,0.9738113484252167,0.9699804941921509,0.6746296548466305,0.9718959213086837,,,meta-noise,235,1.0,0.4,0.0
